Title,Latitude,Longitude,County,Visited,Date,HeritageGroup,Link,Note
Cliveden,51.556596,-0.681394,Buckinghamshire,no,,National Trust,https://www.nationaltrust.org.uk/visit/oxfordshire-buckinghamshire-berkshire/cliveden,
Coombe Hill,51.74824,-0.76762,Buckinghamshire,no,,National Trust,https://www.nationaltrust.org.uk/visit/oxfordshire-buckinghamshire-berkshire/coombe-hill,
Dorneywood Garden,51.5546,-0.64688,Buckinghamshire,no,,National Trust,https://www.nationaltrust.org.uk/visit/oxfordshire-buckinghamshire-berkshire/dorneywood-garden,
Hughenden,51.650214,-0.756555,Buckinghamshire,no,,National Trust,https://www.nationaltrust.org.uk/visit/oxfordshire-buckinghamshire-berkshire/hughenden,
King's Head,51.816472,-0.813592,Buckinghamshire,no,,National Trust,https://www.nationaltrust.org.uk/visit/oxfordshire-buckinghamshire-berkshire/kings-head,
Long Crendon Courthouse,51.775002,-0.98567,Buckinghamshire,no,,National Trust,https://www.nationaltrust.org.uk/visit/oxfordshire-buckinghamshire-berkshire/long-crendon-courthouse,
Pitstone Windmill,51.831402,-0.62699,Buckinghamshire,no,,National Trust,https://www.nationaltrust.org.uk/visit/oxfordshire-buckinghamshire-berkshire/pitstone-windmill,
Stowe Gardens,52.022154,-1.00785,Buckinghamshire,no,,National Trust,https://www.nationaltrust.org.uk/visit/oxfordshire-buckinghamshire-berkshire/stowe-gardens,
Waddesdon,51.845406,-0.925868,Buckinghamshire,no,,National Trust,https://www.nationaltrust.org.uk/visit/oxfordshire-buckinghamshire-berkshire/waddesdon-manor,
Watlington Hill,51.63636,-0.97569,Buckinghamshire,no,,National Trust,https://www.nationaltrust.org.uk/visit/oxfordshire-buckinghamshire-berkshire/watlington-hill,
"West Wycombe Park, Village and Hill",51.641701,-0.80065,Buckinghamshire,no,,National Trust,https://www.nationaltrust.org.uk/visit/oxfordshire-buckinghamshire-berkshire/west-wycombe-park-village-and-hill,
"Anglesey Abbey, Gardens and Lode Mill",52.235915,0.2448,Cambridgeshire,no,,National Trust,https://www.nationaltrust.org.uk/visit/cambridgeshire/anglesey-abbey-gardens-and-lode-mill,
Houghton Mill and Waterclose Meadows,52.3311,-0.1204,Cambridgeshire,no,,National Trust,https://www.nationaltrust.org.uk/visit/cambridgeshire/houghton-mill-and-waterclose-meadows,
Peckover House and Garden,52.665487,0.154538,Cambridgeshire,no,,National Trust,https://www.nationaltrust.org.uk/visit/cambridgeshire/peckover-house-and-garden,
Ramsey Abbey Gatehouse,52.448502,-0.0997,Cambridgeshire,no,,National Trust,https://www.nationaltrust.org.uk/visit/cambridgeshire/ramsey-abbey-gatehouse,
Wicken Fen National Nature Reserve,52.3101,0.29291,Cambridgeshire,no,,National Trust,https://www.nationaltrust.org.uk/visit/cambridgeshire/wicken-fen-national-nature-reserve,
