Title,Latitude,Longitude,County,Visited,Date,HeritageGroup,Link,Note
The Children’s Country House at Sudbury,52.886299,-1.76674,Derbyshire,no,,National Trust,https://www.nationaltrust.org.uk/visit/peak-district-derbyshire/the-childrens-country-house-at-sudbury,
The Old Manor,52.978401,-1.81594,Derbyshire,no,,National Trust,https://www.nationaltrust.org.uk/visit/peak-district-derbyshire/the-old-manor,
Winster Market House,53.14169,-1.639948,Derbyshire,no,,National Trust,https://www.nationaltrust.org.uk/visit/peak-district-derbyshire/winster-market-house,
A la Ronde,50.641718,-3.408798,Devon,no,,National Trust,https://www.nationaltrust.org.uk/visit/devon/a-la-ronde,
Arlington Court and the National Trust Carriage Museum,51.145699,-3.98588,Devon,no,,National Trust,https://www.nationaltrust.org.uk/visit/devon/arlington-court-and-the-national-trust-carriage-museum,
Ashclyst Forest,50.787567,-3.421156,Devon,no,,National Trust,https://www.nationaltrust.org.uk/visit/devon/ashclyst-forest,
Baggy Point,51.136017,-4.245381,Devon,no,,National Trust,https://www.nationaltrust.org.uk/visit/devon/baggy-point,
Bideford Bay and Hartland,51.013201,-4.443378,Devon,no,,National Trust,https://www.nationaltrust.org.uk/visit/devon/bideford-bay-and-hartland,
Bradley,50.5256,-3.62486,Devon,no,,National Trust,https://www.nationaltrust.org.uk/visit/devon/bradley,
Branscombe,50.6922,-3.13646,Devon,no,,National Trust,https://www.nationaltrust.org.uk/visit/devon/branscombe,
Buckland Abbey,50.48139,-4.13374,Devon,no,,National Trust,https://www.nationaltrust.org.uk/visit/devon/buckland-abbey,
Cadover Bridge,50.463626,-4.036676,Devon,no,,National Trust,https://www.nationaltrust.org.uk/visit/devon/cadover-bridge,
Castle Drogo,50.697851,-3.806239,Devon,no,,National Trust,https://www.nationaltrust.org.uk/visit/devon/castle-drogo,
Clyston Mill,50.76573,-3.447534,Devon,no,,National Trust,https://www.nationaltrust.org.uk/visit/devon/clyston-mill,
Coleton Fishacre,50.345299,-3.53439,Devon,no,,National Trust,https://www.nationaltrust.org.uk/visit/devon/coleton-fishacre,
Compton Castle,50.472198,-3.59649,Devon,no,,National Trust,https://www.nationaltrust.org.uk/visit/devon/compton-castle,
Dartmouth and Kingswear Countryside,50.33256,-3.569913,Devon,no,,National Trust,https://www.nationaltrust.org.uk/visit/devon/dartmouth-and-kingswear-countryside,
Dunsland,50.825348,-4.258894,Devon,no,,National Trust,https://www.nationaltrust.org.uk/visit/devon/dunsland,
Finch Foundry,50.730202,-3.92589,Devon,no,,National Trust,https://www.nationaltrust.org.uk/visit/devon/finch-foundry,
Fingle Bridge,50.695276,-3.780949,Devon,no,,National Trust,https://www.nationaltrust.org.uk/visit/devon/fingle-bridge,
Greenway,50.382401,-3.5872,Devon,no,,National Trust,https://www.nationaltrust.org.uk/visit/devon/greenway,
Heddon Valley,51.215599,-3.92621,Devon,no,,National Trust,https://www.nationaltrust.org.uk/visit/devon/heddon-valley,
Killerton,50.792,-3.4565,Devon,no,,National Trust,https://www.nationaltrust.org.uk/visit/devon/killerton,
Knightshayes,50.920777,-3.485064,Devon,no,,National Trust,https://www.nationaltrust.org.uk/visit/devon/knightshayes,
Lorna Doone Valley,51.216183,-3.728033,Devon,no,,National Trust,https://www.nationaltrust.org.uk/visit/devon/lorna-doone-valley,
Loughwood Meeting House,50.788428,-3.061108,Devon,no,,National Trust,https://www.nationaltrust.org.uk/visit/devon/loughwood-meeting-house,
Lundy,51.1735,-4.67047,Devon,no,,National Trust,https://www.nationaltrust.org.uk/visit/devon/lundy,
Lydford Gorge,50.640698,-4.110355,Devon,no,,National Trust,https://www.nationaltrust.org.uk/visit/devon/lydford-gorge,
Mortehoe,51.187373,-4.198934,Devon,no,,National Trust,https://www.nationaltrust.org.uk/visit/devon/mortehoe,
Overbeck's Garden,50.2202,-3.78489,Devon,no,,National Trust,https://www.nationaltrust.org.uk/visit/devon/overbecks-garden,
Parke,50.594692,-3.689277,Devon,no,,National Trust,https://www.nationaltrust.org.uk/visit/devon/parke,
Plymbridge Woods,50.4089,-4.0786,Devon,no,,National Trust,https://www.nationaltrust.org.uk/visit/devon/plymbridge-woods,
Salcombe Countryside,50.229199,-3.81011,Devon,no,,National Trust,https://www.nationaltrust.org.uk/visit/devon/salcombe-countryside,
Saltram,50.3815,-4.08548,Devon,no,,National Trust,https://www.nationaltrust.org.uk/visit/devon/saltram,
Shaugh Bridge,50.453951,-4.06731,Devon,no,,National Trust,https://www.nationaltrust.org.uk/visit/devon/shaugh-bridge,
Shute Barton,50.7714,-3.05677,Devon,no,,National Trust,https://www.nationaltrust.org.uk/visit/devon/shute-barton,
Sidmouth countryside,50.693485,-3.207616,Devon,no,,National Trust,https://www.nationaltrust.org.uk/visit/devon/sidmouth-countryside,
South Milton Sands,50.259597,-3.857038,Devon,no,,National Trust,https://www.nationaltrust.org.uk/visit/devon/south-milton-sands,
Watersmeet,51.2211,-3.79444,Devon,no,,National Trust,https://www.nationaltrust.org.uk/visit/devon/watersmeet,
Wembury,50.316836,-4.084386,Devon,no,,National Trust,https://www.nationaltrust.org.uk/visit/devon/wembury,
Woolacombe,51.178733,-4.167389,Devon,no,,National Trust,https://www.nationaltrust.org.uk/visit/devon/woolacombe,
Badbury Rings,50.827095,-2.058211,Dorset,no,,National Trust,https://www.nationaltrust.org.uk/visit/dorset/badbury-rings,
Brownsea Island,50.6884,-1.95622,Dorset,no,,National Trust,https://www.nationaltrust.org.uk/visit/dorset/brownsea-island,
Cerne Giant,50.812979,-2.475441,Dorset,no,,National Trust,https://www.nationaltrust.org.uk/visit/dorset/cerne-giant,
Clouds Hill,50.717878,-2.251675,Dorset,no,,National Trust,https://www.nationaltrust.org.uk/visit/dorset/clouds-hill,
Corfe Castle,50.64013,-2.0588,Dorset,no,,National Trust,https://www.nationaltrust.org.uk/visit/dorset/corfe-castle,
Eggardon Hill,50.748316,-2.644877,Dorset,no,,National Trust,https://www.nationaltrust.org.uk/visit/dorset/eggardon-hill,
Fontmell and Melbury Downs,50.967604,-2.163719,Dorset,no,,National Trust,https://www.nationaltrust.org.uk/visit/dorset/fontmell-and-melbury-downs,
Golden Cap,50.73693,-2.874292,Dorset,no,,National Trust,https://www.nationaltrust.org.uk/visit/dorset/golden-cap,
Hambledon Hill,50.911692,-2.22182,Dorset,no,,National Trust,https://www.nationaltrust.org.uk/visit/dorset/hambledon-hill,
Hardy Monument,50.686199,-2.54871,Dorset,no,,National Trust,https://www.nationaltrust.org.uk/visit/dorset/hardy-monument,
Hardy's Cottage,50.731308,-2.386136,Dorset,no,,National Trust,https://www.nationaltrust.org.uk/visit/dorset/hardys-cottage,
"Hardy's House, Max Gate",50.707901,-2.419803,Dorset,no,,National Trust,https://www.nationaltrust.org.uk/visit/dorset/hardys-house-max-gate,
Hive Beach,50.696606,-2.722042,Dorset,no,,National Trust,https://www.nationaltrust.org.uk/visit/dorset/hive-beach,
Hod Hill,50.875819,-2.203193,Dorset,no,,National Trust,https://www.nationaltrust.org.uk/visit/dorset/hod-hill,
Kingston Lacy,50.81696,-2.030503,Dorset,no,,National Trust,https://www.nationaltrust.org.uk/visit/dorset/kingston-lacy,
Lambert's and Coney's Castle,50.78438,-2.902129,Dorset,no,,National Trust,https://www.nationaltrust.org.uk/visit/dorset/lamberts-and-coneys-castle,
Lewesdon Hill,50.807833,-2.799555,Dorset,no,,National Trust,https://www.nationaltrust.org.uk/visit/dorset/lewesdon-hill,
Pilsdon Pen,50.8,-2.833333,Dorset,no,,National Trust,https://www.nationaltrust.org.uk/visit/dorset/pilsdon-pen,
Ringstead Bay,50.630861,-2.35342,Dorset,no,,National Trust,https://www.nationaltrust.org.uk/visit/dorset/ringstead-bay,
Spyway,50.6065,-2.005599,Dorset,no,,National Trust,https://www.nationaltrust.org.uk/visit/dorset/spyway,
Studland Bay,50.651732,-1.953806,Dorset,no,,National Trust,https://www.nationaltrust.org.uk/visit/dorset/studland-bay,
White Mill,50.805087,-2.061035,Dorset,no,,National Trust,https://www.nationaltrust.org.uk/visit/dorset/white-mill,
Crook Hall Gardens,54.782583,-1.575158,Durham,no,,National Trust,https://www.nationaltrust.org.uk/visit/north-east/crook-hall-gardens,
Alfriston Clergy House,50.80616,0.15777,East Sussex,no,,National Trust,https://www.nationaltrust.org.uk/visit/sussex/alfriston-clergy-house,
Bateman's,50.987701,0.37695,East Sussex,no,,National Trust,https://www.nationaltrust.org.uk/visit/sussex/batemans,
Birling Gap and the Seven Sisters,50.742905,0.201166,East Sussex,no,,National Trust,https://www.nationaltrust.org.uk/visit/sussex/birling-gap-and-the-seven-sisters,
Blackcap,50.895237,-0.04667,East Sussex,no,,National Trust,https://www.nationaltrust.org.uk/visit/sussex/blackcap,
Bodiam Castle,51.000099,0.54741,East Sussex,no,,National Trust,https://www.nationaltrust.org.uk/visit/sussex/bodiam-castle,
Cuckmere Valley,50.78974,0.139652,East Sussex,no,,National Trust,https://www.nationaltrust.org.uk/visit/sussex/cuckmere-valley,
Ditchling Beacon,50.90084,-0.105186,East Sussex,no,,National Trust,https://www.nationaltrust.org.uk/visit/sussex/ditchling-beacon,
Lamb House,50.949699,0.73426,East Sussex,no,,National Trust,https://www.nationaltrust.org.uk/visit/sussex/lamb-house,
Monk's House,50.8396,0.01917,East Sussex,no,,National Trust,https://www.nationaltrust.org.uk/visit/sussex/monks-house,
Sheffield Park and Garden,51,0.0094,East Sussex,no,,National Trust,https://www.nationaltrust.org.uk/visit/sussex/sheffield-park-and-garden,
Maister House,53.743301,-0.32944,East Yorkshire,no,,National Trust,https://www.nationaltrust.org.uk/visit/yorkshire/maister-house,
Bourne Mill,51.875999,0.91378,Essex,no,,National Trust,https://www.nationaltrust.org.uk/visit/essex-bedfordshire-hertfordshire/bourne-mill,
Copt Hall Marshes,51.795619,0.869801,Essex,no,,National Trust,https://www.nationaltrust.org.uk/visit/essex-bedfordshire-hertfordshire/copt-hall-marshes,
Danbury Commons and Blakes Wood,51.710061,0.576404,Essex,no,,National Trust,https://www.nationaltrust.org.uk/visit/essex-bedfordshire-hertfordshire/danbury-commons-and-blakes-wood,
Eastbury Manor House,51.534894,0.099462,Essex,no,,National Trust,https://www.nationaltrust.org.uk/visit/london/eastbury-manor-house,
Grange Barn,51.869099,0.68332,Essex,no,,National Trust,https://www.nationaltrust.org.uk/visit/essex-bedfordshire-hertfordshire/grange-barn,
Hatfield Forest,51.8592,0.2363,Essex,no,,National Trust,https://www.nationaltrust.org.uk/visit/essex-bedfordshire-hertfordshire/hatfield-forest,
Northey Island,51.718012,0.702822,Essex,no,,National Trust,https://www.nationaltrust.org.uk/visit/essex-bedfordshire-hertfordshire/northey-island,
Paycocke's House and Garden,51.87075,0.68338,Essex,no,,National Trust,https://www.nationaltrust.org.uk/visit/essex-bedfordshire-hertfordshire/paycockes-house-and-garden,
Rayleigh Mount,51.587898,0.60605,Essex,no,,National Trust,https://www.nationaltrust.org.uk/visit/essex-bedfordshire-hertfordshire/rayleigh-mount,
Ashleworth Tithe Barn,51.924198,-2.26572,Gloucestershire,no,,National Trust,https://www.nationaltrust.org.uk/visit/gloucestershire-cotswolds/ashleworth-tithe-barn,
Bibury,51.759018,-1.833845,Gloucestershire,no,,National Trust,https://www.nationaltrust.org.uk/visit/gloucestershire-cotswolds/bibury,
Chedworth Roman Villa,51.819401,-1.92295,Gloucestershire,no,,National Trust,https://www.nationaltrust.org.uk/visit/gloucestershire-cotswolds/chedworth-roman-villa,
Crickley Hill,51.847053,-2.103022,Gloucestershire,no,,National Trust,https://www.nationaltrust.org.uk/visit/gloucestershire-cotswolds/crickley-hill,
Dover's Hill,52.053722,-1.803076,Gloucestershire,no,,National Trust,https://www.nationaltrust.org.uk/visit/gloucestershire-cotswolds/dovers-hill,
Hailes Abbey,51.9702,-1.92724,Gloucestershire,no,,National Trust,https://www.nationaltrust.org.uk/visit/gloucestershire-cotswolds/hailes-abbey,
Haresfield Beacon and Standish Wood,51.7784,-2.26233,Gloucestershire,no,,National Trust,https://www.nationaltrust.org.uk/visit/gloucestershire-cotswolds/haresfield-beacon-and-standish-wood,
Hidcote,52.084,-1.74364,Gloucestershire,no,,National Trust,https://www.nationaltrust.org.uk/visit/gloucestershire-cotswolds/hidcote,
Lodge Park and Sherborne Park Estate,51.8069,-1.79225,Gloucestershire,no,,National Trust,https://www.nationaltrust.org.uk/visit/gloucestershire-cotswolds/lodge-park-and-sherborne-park-estate,
Market Hall,52.050686,-1.780686,Gloucestershire,no,,National Trust,https://www.nationaltrust.org.uk/visit/gloucestershire-cotswolds/market-hall,
May Hill,51.888107,-2.443118,Gloucestershire,no,,National Trust,https://www.nationaltrust.org.uk/visit/gloucestershire-cotswolds/may-hill,
Minchinhampton and Rodborough Commons,51.707547,-2.211243,Gloucestershire,no,,National Trust,https://www.nationaltrust.org.uk/visit/gloucestershire-cotswolds/minchinhampton-and-rodborough-commons,
Newark Park,51.638802,-2.31369,Gloucestershire,no,,National Trust,https://www.nationaltrust.org.uk/visit/gloucestershire-cotswolds/newark-park,
Snowshill Manor and Garden,52.006093,-1.861509,Gloucestershire,no,,National Trust,https://www.nationaltrust.org.uk/visit/gloucestershire-cotswolds/snowshill-manor-and-garden,
Westbury Court Garden,51.822172,-2.410684,Gloucestershire,no,,National Trust,https://www.nationaltrust.org.uk/visit/gloucestershire-cotswolds/westbury-court-garden,
Woodchester Park,51.70473,-2.271464,Gloucestershire,no,,National Trust,https://www.nationaltrust.org.uk/visit/gloucestershire-cotswolds/woodchester-park,
Carneddau and Glyderau,53.123603,-4.020383,Gwynedd,no,,National Trust,https://www.nationaltrust.org.uk/visit/wales/carneddau-and-glyderau,
Craflwyn and Beddgelert,53.019931,-4.088592,Gwynedd,no,,National Trust,https://www.nationaltrust.org.uk/visit/wales/craflwyn-and-beddgelert,
Dinas Dinlle,53.084117,-4.335902,Gwynedd,no,,National Trust,https://www.nationaltrust.org.uk/visit/wales/dinas-dinlle,
Glan Faenol,53.204951,-4.196569,Gwynedd,no,,National Trust,https://www.nationaltrust.org.uk/visit/wales/glan-faenol,
Llanbedrog beach,52.857872,-4.484416,Gwynedd,no,,National Trust,https://www.nationaltrust.org.uk/visit/wales/llanbedrog-beach,
Morfa and Nant Bach,52.99772,-4.421594,Gwynedd,no,,National Trust,https://www.nationaltrust.org.uk/visit/wales/morfa-and-nant-bach,
Mynydd Mawr and Braich y Pwll,52.798201,-4.760568,Gwynedd,no,,National Trust,https://www.nationaltrust.org.uk/visit/wales/mynydd-mawr-and-braich-y-pwll,
Ogwen Cottage,53.123328,-4.018443,Gwynedd,no,,National Trust,https://www.nationaltrust.org.uk/visit/wales/ogwen-cottage,
Penrhyn Castle and Garden,53.217338,-4.101378,Gwynedd,no,,National Trust,https://www.nationaltrust.org.uk/visit/wales/penrhyn-castle-and-garden,
Pistyll,52.951053,-4.487515,Gwynedd,no,,National Trust,https://www.nationaltrust.org.uk/visit/wales/pistyll,
Plas yn Rhiw,52.823399,-4.616,Gwynedd,no,,National Trust,https://www.nationaltrust.org.uk/visit/wales/plas-yn-rhiw,
Porth Meudwy,52.795836,-4.724733,Gwynedd,no,,National Trust,https://www.nationaltrust.org.uk/visit/wales/porth-meudwy,
Porth y Swnt,52.804818,-4.711694,Gwynedd,no,,National Trust,https://www.nationaltrust.org.uk/visit/wales/porth-y-swnt,
Porthdinllaen,52.942939,-4.567633,Gwynedd,no,,National Trust,https://www.nationaltrust.org.uk/visit/wales/porthdinllaen,
Porthor,52.832284,-4.723574,Gwynedd,no,,National Trust,https://www.nationaltrust.org.uk/visit/wales/porthor,
South Eryri (Snowdonia),52.80119,-3.88969,Gwynedd,no,,National Trust,https://www.nationaltrust.org.uk/visit/wales/south-snowdonia,
Curbridge Nature Reserve,50.895322,-1.26269,Hampshire,no,,National Trust,https://www.nationaltrust.org.uk/visit/hampshire/curbridge-nature-reserve,
Foxbury,50.957814,-1.575196,Hampshire,no,,National Trust,https://www.nationaltrust.org.uk/visit/hampshire/foxbury,
Hinton Ampner,51.044591,-1.151521,Hampshire,no,,National Trust,https://www.nationaltrust.org.uk/visit/hampshire/hinton-ampner,
Ludshott Commons,51.1084,-0.77936,Hampshire,no,,National Trust,https://www.nationaltrust.org.uk/visit/hampshire/ludshott-commons,
Mottisfont,51.040011,-1.533176,Hampshire,no,,National Trust,https://www.nationaltrust.org.uk/visit/hampshire/mottisfont,
New Forest Northern Commons,50.873754,-1.767906,Hampshire,no,,National Trust,https://www.nationaltrust.org.uk/visit/hampshire/new-forest-northern-commons,
Sandham Memorial Chapel,51.344799,-1.33691,Hampshire,no,,National Trust,https://www.nationaltrust.org.uk/visit/hampshire/sandham-memorial-chapel,
Selborne Common,51.096107,-0.951764,Hampshire,no,,National Trust,https://www.nationaltrust.org.uk/visit/hampshire/selborne-common,
Stockbridge Down,51.115549,-1.456755,Hampshire,no,,National Trust,https://www.nationaltrust.org.uk/visit/hampshire/stockbridge-down,
Stockbridge Marsh,51.105655,-1.495436,Hampshire,no,,National Trust,https://www.nationaltrust.org.uk/visit/hampshire/stockbridge-marsh,
The Chase,51.364727,-1.367188,Hampshire,no,,National Trust,https://www.nationaltrust.org.uk/visit/hampshire/the-chase,
The Vyne,51.313783,-1.08401,Hampshire,no,,National Trust,https://www.nationaltrust.org.uk/visit/hampshire/the-vyne,
West Green House Garden,51.300978,-0.931629,Hampshire,no,,National Trust,https://www.nationaltrust.org.uk/visit/hampshire/west-green-house-garden,
Winchester City Mill,51.062,-1.30771,Hampshire,no,,National Trust,https://www.nationaltrust.org.uk/visit/hampshire/winchester-city-mill,
Berrington Hall,52.269501,-2.71427,Herefordshire,no,,National Trust,https://www.nationaltrust.org.uk/visit/worcestershire-herefordshire/berrington-hall,
Brockhampton,52.1991,-2.4569,Herefordshire,no,,National Trust,https://www.nationaltrust.org.uk/visit/worcestershire-herefordshire/brockhampton,
Croft Castle and Parkland,52.284199,-2.79835,Herefordshire,no,,National Trust,https://www.nationaltrust.org.uk/visit/worcestershire-herefordshire/croft-castle-and-parkland,
Herefordshire Countryside,52.0353,-2.3505,Herefordshire,no,,National Trust,https://www.nationaltrust.org.uk/visit/worcestershire-herefordshire/herefordshire-countryside,
The Weir Garden,52.072899,-2.82203,Herefordshire,no,,National Trust,https://www.nationaltrust.org.uk/visit/worcestershire-herefordshire/the-weir-garden,
Ashridge Estate,51.805599,-0.58542,Hertfordshire,no,,National Trust,https://www.nationaltrust.org.uk/visit/essex-bedfordshire-hertfordshire/ashridge-estate,
Morven Park,51.700131,-0.174226,Hertfordshire,no,,National Trust,https://www.nationaltrust.org.uk/visit/essex-bedfordshire-hertfordshire/morven-park,
Shaw's Corner,51.836215,-0.26844,Hertfordshire,no,,National Trust,https://www.nationaltrust.org.uk/visit/essex-bedfordshire-hertfordshire/shaws-corner,
Bembridge Windmill,50.684213,-1.094381,Isle of Wight,no,,National Trust,https://www.nationaltrust.org.uk/visit/isle-of-wight/bembridge-windmill,
Bembridge and Culver Downs,50.671156,-1.11801,Isle of Wight,no,,National Trust,https://www.nationaltrust.org.uk/visit/isle-of-wight/bembridge-and-culver-downs,
Borthwood Copse,50.656034,-1.199914,Isle of Wight,no,,National Trust,https://www.nationaltrust.org.uk/visit/isle-of-wight/borthwood-copse,
Chillerton Down,50.64444,-1.32073,Isle of Wight,no,,National Trust,https://www.nationaltrust.org.uk/visit/isle-of-wight/chillerton-down,
Compton Bay and Downs,50.655106,-1.466488,Isle of Wight,no,,National Trust,https://www.nationaltrust.org.uk/visit/isle-of-wight/compton-bay-and-downs,
Mottistone Gardens and Estate,50.652447,-1.4284,Isle of Wight,no,,National Trust,https://www.nationaltrust.org.uk/visit/isle-of-wight/mottistone-gardens-and-estate,
Newtown National Nature Reserve and Old Town Hall,50.713617,-1.401415,Isle of Wight,no,,National Trust,https://www.nationaltrust.org.uk/visit/isle-of-wight/newtown-national-nature-reserve-and-old-town-hall,
St Catherine's Down and Knowles Farm,50.58043,-1.302837,Isle of Wight,no,,National Trust,https://www.nationaltrust.org.uk/visit/isle-of-wight/st-catherines-down-and-knowles-farm,
St Helens Duver,50.698751,-1.099596,Isle of Wight,no,,National Trust,https://www.nationaltrust.org.uk/visit/isle-of-wight/st-helens-duver,
The Needles Headland and Tennyson Down,50.668967,-1.542082,Isle of Wight,no,,National Trust,https://www.nationaltrust.org.uk/visit/isle-of-wight/the-needles-headland-and-tennyson-down,
The Needles Old Battery and New Battery,50.666543,-1.565839,Isle of Wight,no,,National Trust,https://www.nationaltrust.org.uk/visit/isle-of-wight/the-needles-old-battery-and-new-battery,
Ventnor Downs,50.603989,-1.197933,Isle of Wight,no,,National Trust,https://www.nationaltrust.org.uk/visit/isle-of-wight/ventnor-downs,
Chartwell,51.2459,0.083513,Kent,no,,National Trust,https://www.nationaltrust.org.uk/visit/kent/chartwell,
Chiddingstone Village,51.185947,0.14645,Kent,no,,National Trust,https://www.nationaltrust.org.uk/visit/kent/chiddingstone-village,
Cobham Wood and Mausoleum,51.38846,0.433238,Kent,no,,National Trust,https://www.nationaltrust.org.uk/visit/kent/cobham-wood-and-mausoleum,
Coldrum Long Barrow,51.32197,0.36661,Kent,no,,National Trust,https://www.nationaltrust.org.uk/visit/kent/coldrum-long-barrow,
Emmetts Garden,51.250599,0.11573,Kent,no,,National Trust,https://www.nationaltrust.org.uk/visit/kent/emmetts-garden,
Ightham Mote,51.258598,0.27088,Kent,no,,National Trust,https://www.nationaltrust.org.uk/visit/kent/ightham-mote,
Knole,51.267601,0.20122,Kent,no,,National Trust,https://www.nationaltrust.org.uk/visit/kent/knole,
Old Soar Manor,51.263076,0.319997,Kent,no,,National Trust,https://www.nationaltrust.org.uk/visit/kent/old-soar-manor,
Oldbury Hill,51.2788,0.26221,Kent,no,,National Trust,https://www.nationaltrust.org.uk/visit/kent/oldbury-hill,
One Tree Hill,51.256654,0.232781,Kent,no,,National Trust,https://www.nationaltrust.org.uk/visit/kent/one-tree-hill,
Owletts,51.39313,0.391894,Kent,no,,National Trust,https://www.nationaltrust.org.uk/visit/kent/owletts,
Petts Wood and Hawkwood,51.398808,0.082993,Kent,no,,National Trust,https://www.nationaltrust.org.uk/visit/kent/petts-wood-and-hawkwood,
Quebec House,51.268002,0.07833,Kent,no,,National Trust,https://www.nationaltrust.org.uk/visit/kent/quebec-house,
Scotney Castle,51.092783,0.408198,Kent,no,,National Trust,https://www.nationaltrust.org.uk/visit/kent/scotney-castle,
Sissinghurst Castle Garden,51.11576,0.58287,Kent,no,,National Trust,https://www.nationaltrust.org.uk/visit/kent/sissinghurst-castle-garden,
Smallhythe Place,51.0383,0.70182,Kent,no,,National Trust,https://www.nationaltrust.org.uk/visit/kent/smallhythe-place,
South Foreland Lighthouse,51.13152,1.338825,Kent,no,,National Trust,https://www.nationaltrust.org.uk/visit/kent/south-foreland-lighthouse,
St. John's Jerusalem,51.4095,0.24053,Kent,no,,National Trust,https://www.nationaltrust.org.uk/visit/kent/st-johns-jerusalem,
Stoneacre,51.2533,0.58178,Kent,no,,National Trust,https://www.nationaltrust.org.uk/visit/kent/stoneacre,
The Royal Oak Foundation Conservation Studio,51.26717,0.19741,Kent,no,,National Trust,https://www.nationaltrust.org.uk/visit/kent/the-royal-oak-foundation-conservation-studio,
The White Cliffs of Dover,51.132046,1.337537,Kent,no,,National Trust,https://www.nationaltrust.org.uk/visit/kent/the-white-cliffs-of-dover,
Toys Hill,51.248285,0.101976,Kent,no,,National Trust,https://www.nationaltrust.org.uk/visit/kent/toys-hill,
Gawthorpe Hall,53.803799,-2.29093,Lancashire,no,,National Trust,https://www.nationaltrust.org.uk/visit/liverpool-lancashire/gawthorpe-hall,
Heysham Coast,54.046973,-2.902574,Lancashire,no,,National Trust,https://www.nationaltrust.org.uk/visit/liverpool-lancashire/heysham-coast,
Rufford Old Hall,53.63775,-2.81365,Lancashire,no,,National Trust,https://www.nationaltrust.org.uk/visit/liverpool-lancashire/rufford-old-hall,
Staunton Harold Church,52.783401,-1.43658,Leicestershire,no,,National Trust,https://www.nationaltrust.org.uk/visit/peak-district-derbyshire/staunton-harold-church,
Stoneywell,52.703427,-1.270649,Leicestershire,no,,National Trust,https://www.nationaltrust.org.uk/visit/leicestershire-northamptonshire/stoneywell,
Ulverscroft Nature Reserve,52.701401,-1.27259,Leicestershire,no,,National Trust,https://www.nationaltrust.org.uk/visit/leicestershire-northamptonshire/ulverscroft-nature-reserve,
Belton Estate,52.94313,-0.62015,Lincolnshire,no,,National Trust,https://www.nationaltrust.org.uk/visit/nottinghamshire-lincolnshire/belton-estate,
Grantham House,52.914799,-0.63818,Lincolnshire,no,,National Trust,https://www.nationaltrust.org.uk/visit/nottinghamshire-lincolnshire/grantham-house,
"Gunby Estate, Hall and Gardens",53.178001,0.19669,Lincolnshire,no,,National Trust,https://www.nationaltrust.org.uk/visit/nottinghamshire-lincolnshire/gunby-estate-hall-and-gardens,
Gunby Estate: Monksthorpe Chapel,53.164902,0.16874,Lincolnshire,no,,National Trust,https://www.nationaltrust.org.uk/visit/nottinghamshire-lincolnshire/gunby-hall-estate-monksthorpe-chapel,
Sandilands,53.298127,0.294369,Lincolnshire,no,,National Trust,https://www.nationaltrust.org.uk/visit/nottinghamshire-lincolnshire/sandilands,
Tattershall Castle,53.101002,-0.19063,Lincolnshire,no,,National Trust,https://www.nationaltrust.org.uk/visit/nottinghamshire-lincolnshire/tattershall-castle,
Woolsthorpe Manor,52.80876,-0.62985,Lincolnshire,no,,National Trust,https://www.nationaltrust.org.uk/visit/nottinghamshire-lincolnshire/woolsthorpe-manor,
Formby,53.563,-3.09217,Liverpool,no,,National Trust,https://www.nationaltrust.org.uk/visit/liverpool-lancashire/formby,
Speke Hall,53.336498,-2.87353,Liverpool,no,,National Trust,https://www.nationaltrust.org.uk/visit/liverpool-lancashire/speke-hall,
The Beatles' Childhood Homes,53.376751,-2.880458,Liverpool,no,,National Trust,https://www.nationaltrust.org.uk/visit/liverpool-lancashire/the-beatles-childhood-homes,
2 Willow Road,51.557499,-0.16861,London,no,,National Trust,https://www.nationaltrust.org.uk/visit/london/2-willow-road,
575 Wandsworth Road,51.46979,-0.140628,London,no,,National Trust,https://www.nationaltrust.org.uk/visit/london/575-wandsworth-road,
Fenton House and Garden,51.558773,-0.180926,London,no,,National Trust,https://www.nationaltrust.org.uk/visit/london/fenton-house-and-garden,
George Inn,51.503799,-0.08904,London,no,,National Trust,https://www.nationaltrust.org.uk/visit/london/george-inn,
Morden Hall Park,51.400611,-0.188722,London,no,,National Trust,https://www.nationaltrust.org.uk/visit/london/morden-hall-park,
Rainham Hall,51.521696,0.193162,London,no,,National Trust,https://www.nationaltrust.org.uk/visit/london/rainham-hall,
Red House,51.455623,0.130255,London,no,,National Trust,https://www.nationaltrust.org.uk/visit/london/red-house,
Sutton House and Breaker's Yard,51.548,-0.04921,London,no,,National Trust,https://www.nationaltrust.org.uk/visit/london/sutton-house-and-breakers-yard,
The Carlyles' House,51.484326,-0.170021,London,no,,National Trust,https://www.nationaltrust.org.uk/visit/london/the-carlyles-house,
The Hardmans' House,53.399843,-2.973728,Merseyside,no,,National Trust,https://www.nationaltrust.org.uk/visit/liverpool-lancashire/the-hardmans-house,
Osterley Park and House,51.489498,-0.35289,Middlesex,no,,National Trust,https://www.nationaltrust.org.uk/visit/london/osterley-park-and-house,
Skenfrith Castle,51.8778,-2.78942,Monmouthshire,no,,National Trust,https://www.nationaltrust.org.uk/visit/wales/skenfrith-castle,
Sugar Loaf and Usk Valley,51.844095,-3.062519,Monmouthshire,no,,National Trust,https://www.nationaltrust.org.uk/visit/wales/sugar-loaf-skirrid-and-usk-valley,
The Kymin,51.809101,-2.68323,Monmouthshire,no,,National Trust,https://www.nationaltrust.org.uk/visit/wales/the-kymin,
